COMPOSITE TABLE
i	d
!---------------
9351      10310.0 
9354      2805.0 
9355      415.0 
9356      4630.0 
9359      30.0 
9361      340.0 
9362      325.0 
9363      5770.0 
9364      770.0 
9365      690.0 
9366      240.0 
9367      1635.0 
9479      585.0 
9501      9800.0 
9502      6035.0 
9503      4210.0 
9541      3375.0 
9545      715.0 
9551      2410.0 
9561      8710.0 
9563      1055.0 
9566      610.0 
9581      7685.0 
9584       1250.0 
9585      290.0 
9591      2835.0 
9601      6740.0 
9602      12300.0 
9603      3045.0 
9605      915.0 
9606      1715.0 
9607      1015.0 
9608      855.0 
9609      20.0 
9611      8155.0 
9615      1370.0 
9616      515.0 
9617      3280.0 
9618      100.0 
9619      900.0 
9621      2340.0 
9623      220.0 
9624      65.0 
9625      575.0 
9626      1715.0 
9627      545.0 
9628      3415.0 
9629      190.0 
9631      415.0 
9632      55.0 
9633      125.0 
9635      1940.0 
9636      3835.0 
9641      5455.0 
9642      7990.0 
9644      1715.0 
9645      4225.0 
9646      2495.0 
9648      5700.0 
9649      4780.0 
9651      1760.0 
9661      1310.0 
9663      4675.0 
9665      8375.0 
9671      4055.0 
9672      450.0 
9673      3195.0 
9674      3245.0 
9675      7315.0 
9677      1545.0 
9678      1590.0 
9679      5105.0 
9681      2265.0 
9682      1570.0 
9684      2420.0 
9685      325.0 
9686      2215.0 
9687      250.0 
9688      465.0 
9691      30.0 
9693      1480.0 
9695      3415.0 
9696      160.0 
9697      2790.0 
9698      1285.0 
9699      1000.0 
9711      8435.0 
9712      8725.0 
9713      10860.0 
9714      5470.0 
9715      8110.0 
9716      3060.0 
9717      6425.0 
9718      8565.0 
9721      10495.0 
9722      7640.0 
9723      3570.0 
9724      4810.0 
9725      5670.0 
9726      4060.0 
9727      5335.0 
9728      10450.0 
9731      7420.0 
9732      5180.0 
9733      3635.0 
9734      2890.0 
9735      250.0 
9736      6875.0 
9737      6365.0 
9738      405.0 
9741      7690.0 
9742      8740.0 
9743      10890.0 
9744      5910.0 
9745      3335.0 
9746      6030.0 
9747      15.0 
9751      5380.0 
9752      5130.0 
9753      5285.0 
9755      750.0 
9756      1390.0 
9771      1145.0 
9773      135.0 
9774      650.0 
9781      8450.0 
9784      285.0 
9785      1085.0 
9791      4620.0 
9792      880.0 
9793      125.0 
9794      85.0 
9795      385.0 
9796      190.0 
9797      585.0 
9798      545.0 
9801      6820.0 
9804      1585.0 
9805      425.0 
9811      300.0 
9812      60.0 
9821      1165.0 
9822      1660.0 
9824      470.0 
9825      205.0 
9827      185.0 
9828      635.0 
9831      2285.0 
9832      430.0 
9833      275.0 
9841      20.0 
9842      455.0 
9843      2815.0 
9844      225.0 
9845      385.0 
9861      3355.0 
9862      685.0 
9863      1150.0 
9864      690.0 
9865      2430.0 
9866      1020.0 
9881      355.0 
9882      225.0 
9883      1650.0 
9884      290.0 
9885      235.0 
9886      100.0 
9891      895.0 
9892      305.0 
9893      480.0 
9901      4110.0 
9902      5760.0 
9903      2160.0 
9904      120.0 
9905      1140.0 
9906      760.0 
9907      190.0 
9908      340.0 
9909      1440.0 
9911      220.0 
9912      280.0 
9913      120.0 
9914      535.0 
9915      840.0 
9917      560.0 
9918      615.0 
9919      2650.0 
9921      1080.0 
9922      410.0 
9923      210.0 
9924      30.0 
9925      25.0 
9931      2160.0 
9932      4785.0 
9933      4145.0 
9934      5180.0 
9936      1800.0 
9937      660.0 
9939      325.0 
9942      115.0 
9943      390.0 
9944      1460.0 
9945      1910.0 
9946      1070.0 
9947      435.0 
9948      330.0 
9949      180.0 
9951      7625.0 
9953      1930.0 
9954      85.0 
9955      225.0 
9956      510.0 
9957      55.0 
9959      630.0 
9961      200.0 
9962      95.0 
9963      260.0 
9964      825.0 
9965      1765.0 
9966      155.0 
9967      1545.0 
9968      445.0 
9969      250.0 
9971      1535.0 
9972      75.0 
9973      255.0 
9974      1205.0 
9975      205.0 
9976      175.0 
9977      1335.0 
9978      195.0 
9979      10.0 
9981      5655.0 
9982      3275.0 
9983      1235.0 
9984      250.0 
9985      155.0 
9986      110.0 
9987      220.0 
9988      1545.0 
9989      2390.0 
9991      2305.0 
9992      130.0 
9993      145.0 
9994      90.0 
9995      755.0 
9996      75.0 
9997      635.0 
9998      190.0 
9999      115.0 
