COMPOSITE TABLE
i      d
!--------------------------
8388      535.0
8389      335.0
8391      3740.0
8392      880.0
8393      220.0
8394      420.0
8395      1070.0
8396      85.0
8397      835.0
8398      485.0
8401      7390.0
8403      290.0
8404      1065.0
8405      430.0
8406      1530.0
8407      1050.0
8408      1345.0
8409      755.0
8411      3350.0
8412      835.0
8413      855.0
8414      1490.0
8415      445.0
8421      1515.0
8422      275.0
8423      1030.0
8424      650.0
8425      295.0
8426      5115.0
8427      430.0
8428      425.0
8431      9880.0
8432      615.0
8433      3265.0
8434      865.0
8435      1885.0
8441      4435.0
8442      5340.0
8443      2680.0
8444      345.0
8445      1620.0
8446      7655.0
8447      3450.0
8448      3670.0
8449      300.0
8451      1510.0
8452      140.0
8453      1045.0
8454      710.0
8455      615.0
8456      1415.0
8457      305.0
8458      785.0
8459      425.0
8461      655.0
8462      220.0
8463      630.0
8464      1235.0
8465      1965.0
8466      50.0
8467      360.0
8468      410.0
8469      155.0
8471      11580.0
8472      1110.0
8474      1055.0
8475      490.0
8476      320.0
8477      140.0
8478      245.0
8479      220.0
8481      130.0
8482      215.0
8483      440.0
8484      255.0
8485      420.0
8486      215.0
8487      155.0
8488      190.0
8489      35.0
8491      3385.0
8493      815.0
8494      1100.0
8495      1435.0
8497      70.0
8501      9745.0
8502      3225.0
8503      50.0
8505      70.0
8506      590.0
8507      225.0
8508      410.0
8511      270.0
8512      215.0
8513      345.0
8514      75.0
8515      75.0
8516      85.0
8517      845.0
8521      3335.0
8522      390.0
8523      450.0
8524      30.0
8525      1025.0
8526      105.0
8527      40.0
8528      50.0
8529      95.0
8531      7845.0
8532      2285.0
8534      50.0
8535      170.0
8536      920.0
8537      240.0
8538      670.0
8539      1045.0
8541      110.0
8542      245.0
8551      1395.0
8552      15.0
8553      125.0
8554      70.0
8556      760.0
8561      3775.0
8563      690.0
8564      125.0
8565      445.0
8566      560.0
8567      1350.0
8571      540.0
8572      180.0
8573      115.0
8574      1050.0
8581      360.0
8582      295.0
8583      65.0
8584      585.0
8601      2975.0
8602      4655.0
8603      4235.0
8604      5015.0
8605      2240.0
8606      2790.0
8607      5990.0
8608      4680.0
8611      285.0
8612      25.0
8613      15.0
8614      690.0
8615      575.0
8616      85.0
8617      265.0
8618      435.0
8621      2305.0
8622      635.0
8623      320.0
8624      385.0
8625      1105.0
8626      160.0
8627      370.0
8628      260.0
8629      1695.0
8631      55.0
8632      175.0
8633      635.0
8635      415.0
8636      120.0
8637      255.0
8641      125.0
8642      70.0
8644      130.0
8647      375.0
8651      3205.0
8658      85.0
8701      7680.0
8702      2225.0
8711      4320.0
8713      805.0
8715      945.0
8721      790.0
