COMPOSITE TABLE
i	  d
!---------------
6121      6070.0 
6122      2070.0 
6123      1245.0 
6124      765.0 
6125      1875.0 
6127      2430.0 
6129      5540.0 
6131      4100.0 
6132      5635.0 
6133      3930.0 
6134      2525.0 
6135      6075.0 
6136      6820.0 
6137      8775.0 
6141      2680.0 
6142      1375.0 
6143      1250.0 
6151      4895.0 
6153      95.0 
6155      2040.0 
6161      4300.0 
6162      4060.0 
6163      8375.0 
6164      5205.0 
6165      4935.0 
6166      5565.0 
6167      20.0 
6171      11210.0 
6174      895.0 
6176      3540.0 
6181      8920.0 
6191      13035.0 
6199      5.0 
6211      9745.0 
6212      4380.0 
6213      4125.0 
6214      4695.0 
6215      8835.0 
6216      6705.0 
6217      9330.0 
6218      7380.0 
6219      1695.0 
6221      9010.0 
6222      5515.0 
6223      2795.0 
6224      8705.0 
6225      6295.0 
6226      7420.0 
6227      7760.0 
6228      7105.0 
6229      6960.0 
6231      7660.0 
6235      2850.0 
6237      340.0 
6241      6065.0 
6243      2655.0 
6245      8320.0 
6247      3115.0 
6251      420.0 
6252      165.0 
6255      1130.0 
6261      945.0 
6262      1030.0 
6265      1375.0 
6267      3630.0 
6268      555.0 
6269      3830.0 
6271      3900.0 
6273      245.0 
6274      565.0 
6276      165.0 
6277      395.0 
6278      80.0 
6281      1905.0 
6285      1105.0 
6286      1945.0 
6287      1715.0 
6289      85.0 
6291      7505.0 
6294      1455.0 
6295      910.0 
6301      10845.0 
6305      1575.0 
6307      340.0 
6311      815.0 
6312      155.0 
6321      2490.0 
6325      4515.0 
6333      3285.0 
6336      4120.0 
6341      50.0 
6342      100.0 
6343      3295.0 
6351      5390.0 
6353      50.0 
6361      6565.0 
6363      1695.0 
6365      2895.0 
6367      8435.0 
6369      5550.0 
6371      6150.0 
6372      10345.0 
6373      9280.0 
6374      12680.0 
6411      7400.0 
6412      8870.0 
6413      11625.0 
6414      8090.0 
6415      6655.0 
6416      5775.0 
6417      6580.0 
6418      9285.0 
6419      4595.0 
6421      15.0 
6422      80.0 
6431      10875.0 
6432      4335.0 
6433      5060.0 
6436      2600.0 
6438      3905.0 
6439      1150.0 
6441      8075.0 
6442      2765.0 
6443      4110.0 
6444      6645.0 
6445      3055.0 
6446      4795.0 
6447      1710.0 
6451      4840.0 
6454      725.0 
6456      835.0 
6461      7940.0 
6462      7790.0 
6463      5640.0 
6464      4315.0 
6465      2255.0 
6466      8250.0 
6467      4915.0 
6468      290.0 
6469      660.0 
6471      5645.0
