COMPOSITE TABLE
i		    d
!--------------------------
7705      60.0 
7741      9450.0 
7742      6365.0 
7751      4055.0 
7753      700.0 
7754      360.0 
7755      360.0 
7756      270.0 
7761      4690.0 
7764      485.0 
7765      1760.0 
7766      1310.0 
7811      3885.0 
7812      10410.0 
7814      1825.0 
7815      6160.0 
7821      15.0 
7822      2780.0 
7823      8095.0 
7824      7970.0 
7825      445.0 
7826      3210.0 
7827      9965.0 
7828      2200.0 
7831      3660.0 
7833      4895.0 
7841      2295.0 
7842      70.0 
7843      875.0 
7844      2285.0 
7845      265.0 
7846      525.0 
7847      240.0 
7848      2265.0 
7849      380.0 
7851      390.0 
7852      200.0 
7853      180.0 
7854      1895.0 
7855      400.0 
7856      180.0 
7858      115.0 
7859      40.0 
7861      1885.0 
7863      710.0 
7864      405.0 
7871      785.0 
7872      1250.0 
7873      1855.0 
7874      435.0 
7875      1630.0 
7876      3515.0 
7877      125.0 
7881      8005.0 
7884      1810.0 
7885      2105.0 
7887      4865.0 
7891      11895.0 
7892      140.0 
7894      3120.0 
7895      835.0 
7901      2955.0 
7902      4310.0 
7903      395.0 
7904      5025.0 
7905      4335.0 
7906      6235.0 
7907      2055.0 
7908      11450.0 
7909      2505.0 
7911      240.0 
7912      655.0 
7913      5120.0 
7914      2010.0 
7915      70.0 
7916      2485.0 
7917      1345.0 
7918      1380.0 
7921      6475.0 
7924      915.0 
7925      660.0 
7926      890.0 
7927      790.0 
7929      45.0 
7931      685.0 
7932      345.0 
7933      1575.0 
7934      570.0 
7935      75.0 
7936      760.0 
7938      910.0 
7941      5720.0 
7942      4750.0 
7943      8780.0 
7944      8905.0 
7948      3860.0 
7949      130.0 
7957      2900.0 
7958      2385.0 
7961      3875.0 
7963      3610.0 
7964      285.0 
7965      120.0 
7966      90.0 
7971      3545.0 
7973      705.0 
7974      205.0 
7975      1445.0 
7981      2480.0 
7983      615.0 
7984      200.0 
7985      155.0 
7986      285.0 
7991      4185.0 
8351      790.0 
8381      1960.0 
8382      215.0 
8383      525.0 
8384      915.0 
8385      360.0 
8386      110.0 
8387      190.0 
8437      235.0 
8438      125.0 
8439      40.0 
9301      11390.0 
9302      3180.0 
9304      260.0 
9305      330.0 
9306      100.0 
9307      220.0 
9311      1435.0 
9312      1065.0 
9313      135.0 
9314      220.0 
9315      350.0 
9321      5270.0 
9331      3655.0 
9333      240.0 
9334      135.0 
9335      195.0 
9336      130.0 
9337      160.0 
9341      1240.0 
9342      815.0 
9343      230.0 
9401      5405.0 
9402      8610.0 
9403      14890.0 
9404      6135.0 
9405      6005.0 
9406      9870.0 
9407      6920.0 
9408      8270.0 
9409      290.0 
9411      8650.0 
9412      1355.0 
9413      1150.0 
9414      1405.0 
9415      855.0 
9416      140.0 
9417      335.0 
9418      1075.0 
9419      435.0 
9421      3515.0 
9422      5035.0 
9423      1310.0 
9431      4865.0 
9432      85.0 
9433      440.0 
9434      60.0 
9435      65.0 
9436      285.0 
9437      115.0 
9438      95.0 
9439      570.0 
9441      215.0 
9442      370.0 
9443      270.0 
9444      785.0 
9445      35.0 
9446      90.0 
9447      45.0 
9448      100.0 
9449      325.0 
9451      3935.0 
9452      75.0 
9453      45.0 
9454      280.0 
9455      5.0 
9456      30.0 
9457      90.0 
9458      150.0 
9459      20.0 
9461      5165.0 
9462      1675.0 
9463      1440.0 
9464      145.0 
9465      250.0 
9466      425.0 
9467      425.0 
9468      3685.0 
9469      590.0 
9471      6310.0 
9472      3770.0 
9473      465.0 
9474      330.0 
9475      335.0 
9481      4295.0 
9482      1765.0 
9483      360.0 
9484      80.0 
9485      115.0 
9486      35.0 
9487      95.0 
9488      110.0 
9489      25.0 
9491      770.0 
9492      185.0 
9493      235.0 
9494      865.0 
9495      105.0 
9496      200.0 
9497      455.0 
9511      1005.0 
9512      285.0 
9514      1930.0 
9515      710.0 
9521      5045.0 
9523      560.0 
9524      430.0 
9525      260.0 
9526      85.0 
9527      110.0 
9528      845.0 
9531      4780.0 
9533      490.0 
9534      135.0 
9535      30.0 
9536      365.0 
9537      155.0 
9564      55.0 
9571      2440.0 
9573      395.0 
9574      105.0 
9654      435.0 
9655      130.0 
9656      160.0 
9657      100.0 
9658      480.0 
9659      225.0 
9749      40.0 
9761      6770.0 
9765      3690.0 
9766      1495.0
